Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Malaria,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out
Allergy,apply calamine,cover area with bandage,,use ice to compress itching
Diabetes ,have balanced diet,exercise,consult doctor,follow up
Hypertension ,meditation,salt baths,reduce stress,get proper sleep
Peptic ulcer diseae,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
Common Cold,drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Chicken pox,use neem in bathing ,consume neem leaves,take vaccine,avoid public places
Urinary tract infection,drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics
Typhoid,eat high calorie vegitables,antiboitic therapy,consult doctor,medication
Fungal infection,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
Migraine,meditation,reduce stress,use poloroid glasses in sun,consult doctor
Bronchial Asthma,switch to loose cloothing,take deep breaths,get away from trigger,seek help
Jaundice,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
Dengue,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated
Heart attack,call ambulance,chew or swallow asprin,keep calm,
Pneumonia,consult doctor,medication,rest,follow up
Arthritis,exercise,use hot and cold therapy,try acupuncture,massage
Gastroenteritis,stop eating solid food for while,try taking small sips of water,rest,ease back into eating
Tuberculosis,cover mouth,consult doctor,medication,rest
Diabetes ,Low sugar and carb diet,Daily walk for 30 mins,Monitor blood sugar daily,Take insulin/medicine on time
